sentence,inference,label
"La candente mañana de febrero en que Beatriz Viterbo murió, después de una imperiosa agonía que no se rebajó un solo instante ni al sentimentalismo ni al miedo, noté que las carteleras de fierro de la Plaza Constitución habían renovado no sé qué aviso de cigarrillos rubios; el hecho me dolió, pues comprendí que el incesante y vasto universo ya se apartaba de ella y que ese cambio era el primero de una serie infinita.","La muerte de Beatriz es importante para el narrador, pero el mundo sigue su curso sin detenerse por ella.",1
"Cambiará el universo pero yo no, pensé con melancólica vanidad; alguna vez, lo sé, mi vana devoción la había exasperado; muerta yo podía consagrarme a su memoria, sin esperanza, pero también sin humillación.",Quizá su devoción hacia Beatriz continuará intacta pese a los cambios del mundo.,2
"Consideré que el treinta de abril era su cumpleaños; visitar ese día la casa de la calle Garay para saludar a su padre y a Carlos Argentino Daneri, su primo hermano, era un acto cortés, irreprochable, tal vez ineludible.","Más que una simple cortesía, la visita es una forma de mantener el vínculo con Beatriz a través de su familia.",1
"De nuevo aguardaría en el crepúsculo de la abarrotada salita, de nuevo estudiaría las circunstancias de sus muchos retratos. Beatriz Viterbo, de perfil, en colores; Beatriz, con antifaz, en los carnavales de 1921; la primera comunión de Beatriz; Beatriz, el día de su boda con Roberto Alessandri; Beatriz, poco después del divorcio, en un almuerzo del Club Hípico; Beatriz, en Quilmes, con Delia San Marco Porcel y Carlos Argentino; Beatriz, con el pekinés que le regaló Villegas Haedo; Beatriz, de frente y de tres cuartos, sonriendo, la mano en el mentón...","Es probable que pase otro rato observando los retratos de Beatriz, recordándola con nostalgia.",2
"No estaría obligado, como otras veces, a justificar mi presencia con módicas ofrendas de libros: libros cuyas páginas, finalmente, aprendí a cortar, para no comprobar, meses después, que estaban intactos.","No tendría que justificar mi presencia con regalos de libros, como en otras ocasiones. Aprendí a cortar las páginas para no descubrir después que seguían intactas.",3
"Beatriz Viterbo murió en 1929; desde entonces, no dejé pasar un treinta de abril sin volver a su casa.","Desde la muerte de Beatriz Viterbo en 1929, cada 30 de abril regresaba a su casa sin falta.",3
"Yo solía llegar a las siete y cuarto y quedarme unos veinticinco minutos; cada año aparecía un poco más tarde y me quedaba un rato más; en 1933, una lluvia torrencial me favoreció: tuvieron que invitarme a comer. No desperdicié, como es natural, ese buen precedente; en 1934, aparecí, ya dadas las ocho, con un alfajor santafecino; con toda naturalidad me quedé a comer. Así, en aniversarios melancólicos y vanamente eróticos, recibí las graduales confidencias de Carlos Argentino Daneri.","Tal vez utilice otra excusa para quedarse más tiempo en la casa, como en aquella ocasión.",2
"Beatriz era alta, frágil, muy ligeramente inclinada; había en su andar (si el oxímoron* es tolerable) una como graciosa torpeza, un principio de éxtasis.","Debido a que Beatriz tenía una complexión delicada y un andar peculiar que combinaba gracia y torpeza, su presencia resultaba cautivadora y enigmática para quienes la observaban.",1
"Carlos Argentino es rosado, considerable, canoso, de rasgos finos. Ejerce no sé qué cargo subalterno en una biblioteca ilegible de los arrabales del Sur; es autoritario, pero también es ineficaz; aprovechaba, hasta hace muy poco, las noches y las fiestas para no salir de su casa.",Me recuerda a esos hombres mayores con un aire autoritario pero simpático.,0
"A dos generaciones de distancia, la ese italiana y la copiosa gesticulación italiana sobreviven en él.",La persistencia del acento y la gesticulación italiana en él es similar a cómo algunas familias mantienen tradiciones a lo largo de generaciones.,0
